,Volume m3,Ground Surface m2,Amount Buildings,Surface Build %,Surface Total,Inset 1,Inset 2,Inset 3,Inset 4,Inset 5,Inset 6,Inset 7,Inset 8,Inset 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Height 7,Height 8,Height 9,Roof 1,Roof 2,Roof 3,Roof 4,Roof 5,Roof 6,Roof 7,Roof 8,Roof 9,SL %,SVF %
1675,1231.87,95.16,1,5.9,716.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.95,0.0,0,0,0,0,0,0,0,1,0,93.3,89.61
1676,4657.83,526.19,6,32.9,3042.85,0.86,0.54,0.64,0.72,0.0,0.0,0.0,0.85,0.53,10.58,4.99,10.64,3.61,0.0,0.0,0.0,12.39,6.41,1,1,1,1,0,0,0,1,1,52.55,57.79
1677,4210.76,415.88,6,26.0,2897.7,0.73,0.0,0.73,0.0,0.35,0.45,0.0,0.82,0.52,13.25,0.0,8.57,0.0,11.98,11.2,0.0,8.12,10.36,1,0,1,0,0,1,0,1,0,56.05,59.34
1678,2808.61,497.14,6,31.1,2318.47,0.86,0.7,0.63,0.47,0.0,0.76,0.0,0.61,0.0,3.11,4.47,4.63,8.11,0.0,8.57,0.0,7.43,0.0,1,0,1,1,0,0,0,1,0,54.1,62.28
1679,1278.53,102.09,2,6.4,913.73,0.0,0.42,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,82.33,85.09
1680,3304.38,305.79,3,19.1,1951.24,0.0,0.0,0.0,0.79,0.65,0.83,0.0,0.0,0.0,0.0,0.0,0.0,10.82,9.91,11.34,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,71.02,72.44
1681,4557.01,597.78,9,37.4,3352.84,0.64,0.43,0.35,0.74,0.7,0.77,0.39,0.87,0.34,7.52,11.82,8.19,3.67,7.52,3.85,6.89,13.21,3.12,0,1,0,1,1,1,1,0,1,48.22,51.1
1682,3250.46,533.12,8,33.3,2774.55,0.58,0.79,0.61,0.38,0.58,0.39,0.54,0.86,0.0,13.64,5.6,3.53,6.26,7.39,5.63,8.67,2.88,0.0,0,1,1,1,0,1,0,1,0,50.3,56.81
1683,983.79,138.32,1,8.6,611.23,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,87.77,92.3
1684,3224.28,351.7,3,22.0,1915.69,0.0,0.0,0.0,0.0,0.85,0.0,0.75,0.0,0.84,0.0,0.0,0.0,0.0,8.5,0.0,9.2,0.0,9.83,0,0,0,0,0,0,1,0,0,76.95,72.51
